Principal MECID,Principal Name,Address 1,Address 2,City,State,Zip,Phone 1,Phone 2,Lobbyist MECID,Lobbyist Name
P203643,"BetMGM, LLC","210 Hudson Street, Suite 602",Harborside Plaza 3,Jersey City,NJ,7311,(732) 268-1918,,L002922,"Eaton, Alex Thomas"
P203643,"BetMGM, LLC","210 Hudson Street, Suite 602",Harborside Plaza 3,Jersey City,NJ,7311,(732) 268-1918,,L003160,"Porter, Gregory 'Greg' D"
P203643,"BetMGM, LLC","210 Hudson Street, Suite 602",Harborside Plaza 3,Jersey City,NJ,7311,(732) 268-1918,,L003722,"Lohmann, Rebecca"
P203643,"BetMGM, LLC","210 Hudson Street, Suite 602",Harborside Plaza 3,Jersey City,NJ,7311,(732) 268-1918,,L003897,"Ostrow, Sean"
P203643,"BetMGM, LLC","210 Hudson Street, Suite 602",Harborside Plaza 3,Jersey City,NJ,7311,(732) 268-1918,,L004183,"Willis, David"
P203643,"BetMGM, LLC","210 Hudson Street, Suite 602",Harborside Plaza 3,Jersey City,NJ,7311,(732) 268-1918,,L180015,"Wells, Jasmine"
P180229,Bevo Community Improvement District,5226 Gravois,,St. Louis,MO,63116,(314) 352-5226,,L003829,"Sweeney, David W"
P180235,Big Brothers Big Sisters of Eastern Mo,501 North Grand Blvd,Suite 100,St. Louis,MO,63103,(314) 361-5900,,L000952,"McIntosh, Richard"
P180235,Big Brothers Big Sisters of Eastern Mo,501 North Grand Blvd,Suite 100,St. Louis,MO,63103,(314) 361-5900,,L001270,"Flotron, Francis 'Franc' E."
P180235,Big Brothers Big Sisters of Eastern Mo,501 North Grand Blvd,Suite 100,St. Louis,MO,63103,(314) 361-5900,,L002682,"McCracken, David"
P180235,Big Brothers Big Sisters of Eastern Mo,501 North Grand Blvd,Suite 100,St. Louis,MO,63103,(314) 361-5900,,L003434,"Stouffer, Bill"
P180237,Bi-lingual International Assistant Services,"8390 Delmar Blvd, Suite 210",,St. Louis,MO,63124,(314) 812-9320,,L000698,"Winton , David"
P180237,Bi-lingual International Assistant Services,"8390 Delmar Blvd, Suite 210",,St. Louis,MO,63124,(314) 812-9320,,L003827,"Petrie, Jessica"
P180238,Bill Stouffer,31229 Mount Olive Rd,,Napton,MO,65340,(660) 287-4510,,L003434,"Stouffer, Bill"
P180241,Biostl,"4340 Duncan Avenue, Suite 100",,St. Louis,MO,63105,(314) 880-8871,,L000299,"Gamble, William"
P180241,Biostl,"4340 Duncan Avenue, Suite 100",,St. Louis,MO,63105,(314) 880-8871,,L000300,"Gamble, Cynthia"
P180241,Biostl,"4340 Duncan Avenue, Suite 100",,St. Louis,MO,63105,(314) 880-8871,,L000580,"Schlemeier, Jorgen"
P180241,Biostl,"4340 Duncan Avenue, Suite 100",,St. Louis,MO,63105,(314) 880-8871,,L000644,"Topp, Sarah"
P180241,Biostl,"4340 Duncan Avenue, Suite 100",,St. Louis,MO,63105,(314) 880-8871,,L002845,"Jackson, David"
P180241,Biostl,"4340 Duncan Avenue, Suite 100",,St. Louis,MO,63105,(314) 880-8871,,L003130,"Brooks, Jeffery"
P180241,Biostl,"4340 Duncan Avenue, Suite 100",,St. Louis,MO,63105,(314) 880-8871,,L003747,"Gamble, Kathryn"
P180241,Biostl,"4340 Duncan Avenue, Suite 100",,St. Louis,MO,63105,(314) 880-8871,,L004133,"Schlemeier, Sarah"
P180241,Biostl,"4340 Duncan Avenue, Suite 100",,St. Louis,MO,63105,(314) 880-8871,,L190054,"Wilson, Olivia"
P180241,Biostl,"4340 Duncan Avenue, Suite 100",,St. Louis,MO,63105,(314) 880-8871,,L190149,"Gamble, John"
P180245,Bi-State Development Agency,211 North Broadway Ste 700,,St. Louis,MO,63102,(314) 982-1552,,L002413,"Hamilton, L.P."
P203646,Bitrode Corporation,9787 Green Park Industrial Dr,,St. Louis,MO,63123,(636) 343-6112,,L190147,"Silverman, Jake"
P180246,BJC Healthcare Systems,4444 Forest Park Ave,Rm. E240,St. Louis,MO,63108,(314) 286-2151,,L000232,"Dalton, Jonathan F."
P180246,BJC Healthcare Systems,4444 Forest Park Ave,Rm. E240,St. Louis,MO,63108,(314) 286-2151,,L000323,"Hawk, Shanon M"
P180246,BJC Healthcare Systems,4444 Forest Park Ave,Rm. E240,St. Louis,MO,63108,(314) 286-2151,,L000327,"Hemphill, Brent"
P180246,BJC Healthcare Systems,4444 Forest Park Ave,Rm. E240,St. Louis,MO,63108,(314) 286-2151,,L000698,"Winton , David"
P180246,BJC Healthcare Systems,4444 Forest Park Ave,Rm. E240,St. Louis,MO,63108,(314) 286-2151,,L001097,"Chilton, Leann"
P180246,BJC Healthcare Systems,4444 Forest Park Ave,Rm. E240,St. Louis,MO,63108,(314) 286-2151,,L003827,"Petrie, Jessica"
P180246,BJC Healthcare Systems,4444 Forest Park Ave,Rm. E240,St. Louis,MO,63108,(314) 286-2151,,L003892,"Rainford, Jeff"
P180247,BJG Cattle Co,21761 Hwy 67 South,,Neelyville,MO,63954,(573) 714-5868,,L000946,"Brown, Travis Howard"
P180247,BJG Cattle Co,21761 Hwy 67 South,,Neelyville,MO,63954,(573) 714-5868,,L001991,"King, Tracy"
P180247,BJG Cattle Co,21761 Hwy 67 South,,Neelyville,MO,63954,(573) 714-5868,,L002136,"Robbins, Thomas"
P180247,BJG Cattle Co,21761 Hwy 67 South,,Neelyville,MO,63954,(573) 714-5868,,L003354,"Tilley, Steven"
P180248,BK Public Policy Group LLC,PO Box 772,,Jefferson City,MO,65102,(660) 537-2239,,L002550,"Berry, Ron 'Ronald'"
P193180,BKD,"910 E. St. Louis Street, Suite 200",,Springfield,MO,65806,(417) 865-8701,,L000990,"Clarkston, Heath"
P193180,BKD,"910 E. St. Louis Street, Suite 200",,Springfield,MO,65806,(417) 865-8701,,L002852,"Nelson, Doug"
P193180,BKD,"910 E. St. Louis Street, Suite 200",,Springfield,MO,65806,(417) 865-8701,,L004148,"Schaefer, Kurt"
P203428,"Black Fox Manufacturing, LLC",1739 Elm Ct,Suite 207,Jefferson City,MO,65101,(573) 694-0874,,L000946,"Brown, Travis Howard"
P203428,"Black Fox Manufacturing, LLC",1739 Elm Ct,Suite 207,Jefferson City,MO,65101,(573) 694-0874,,L001991,"King, Tracy"
P180250,Bland Consulting Services,8711 Cambridge Ave.,Suite 1412,Kansas City,MO,64138,(816) 510-5714,,L001074,"Bland, Rodney"
P192796,"Block 112, LLC",c/o Copaken Brooks,"1100 Walnut, Suite 2000",Kansas City,MO,64106,(816) 701-5000,,L002489,"Miller, Charles 'Charlie' F."
P180251,"Block Real Estate Services, LLC",700 West 47th Street,Suite 200,Kansas City,MO,64112,(816) 756-1400,,L000382,"Koch, Roxsen"
P193224,Bloom Medicinals,"129 NW 13th Street, Suite 27",,Boca Raton,FL,33432,(561) 620-7822,,L002136,"Robbins, Thomas"
P203604,Blue Arrow Botanicals,130 S Bemiston,#406,Clayton,MO,63105,(314) 667-4586,,L002136,"Robbins, Thomas"
P203604,Blue Arrow Botanicals,130 S Bemiston,#406,Clayton,MO,63105,(314) 667-4586,,L003354,"Tilley, Steven"
P203604,Blue Arrow Botanicals,130 S Bemiston,#406,Clayton,MO,63105,(314) 667-4586,,L003829,"Sweeney, David W"
P180253,Blue Cross Blue Shield of Kansas City,2301 Main Street,,Kansas City,MO,64108,(816) 395-2222,,L001678,"Giddens, Nancy Lane"
P180253,Blue Cross Blue Shield of Kansas City,2301 Main Street,,Kansas City,MO,64108,(816) 395-2222,,L002837,"Cooper, Shannon"
P180253,Blue Cross Blue Shield of Kansas City,2301 Main Street,,Kansas City,MO,64108,(816) 395-2222,,L003041,"Fries, Coni K"
P180255,"Bluebird Network, LLC",2005 W. Broadway,"Bldg A, Ste 215",Columbia,MO,65203,(573) 777-4200,(816) 237-2110,L000299,"Gamble, William"
P180255,"Bluebird Network, LLC",2005 W. Broadway,"Bldg A, Ste 215",Columbia,MO,65203,(573) 777-4200,(816) 237-2110,L000580,"Schlemeier, Jorgen"
P180255,"Bluebird Network, LLC",2005 W. Broadway,"Bldg A, Ste 215",Columbia,MO,65203,(573) 777-4200,(816) 237-2110,L001747,"Burton, Gary"
P180255,"Bluebird Network, LLC",2005 W. Broadway,"Bldg A, Ste 215",Columbia,MO,65203,(573) 777-4200,(816) 237-2110,L002845,"Jackson, David"
P193264,BlueScope Steel North America,1540 Genessee Street,,Kansas City,MO,64102,(816) 968-3000,,L000309,"Gray, Rodney D"
P193264,BlueScope Steel North America,1540 Genessee Street,,Kansas City,MO,64102,(816) 968-3000,,L000382,"Koch, Roxsen"
P193264,BlueScope Steel North America,1540 Genessee Street,,Kansas City,MO,64102,(816) 968-3000,,L003084,"Moore, Susan Henderson"
P193264,BlueScope Steel North America,1540 Genessee Street,,Kansas City,MO,64102,(816) 968-3000,,L190194,"Alexander, Cara"
P193258,Bluestem Cannabis Corporation,6150 Timberidge Drive,,Parkville,MO,64152,(573) 356-9698,,L002444,"Hoover, Caroline"
P180256,BMC Software,"6900 North Dallas Parkway, Ste 300",,Plano,TX,75024,(214) 478-7289,,L000952,"McIntosh, Richard"
P180257,BMWED-IBT,25 Louisiana Ave NW 7th Fl,,Washington,DC,20001-2130,(202) 624-6800,,L003276,"Taylor , Richard"
P180258,BNSF Railway Company,4515 Kansas Ave,,Kansas City,KS,66106,(314) 551-4202,,L000720,"Reichard, Jay"
P180258,BNSF Railway Company,4515 Kansas Ave,,Kansas City,KS,66106,(314) 551-4202,,L001341,"Blunt, Andrew 'Andy'"
P180258,BNSF Railway Company,4515 Kansas Ave,,Kansas City,KS,66106,(314) 551-4202,,L001499,"Moody, Christopher 'Chris'"
P180258,BNSF Railway Company,4515 Kansas Ave,,Kansas City,KS,66106,(314) 551-4202,,L002289,"AuBuchon, Richard Michael"
P180258,BNSF Railway Company,4515 Kansas Ave,,Kansas City,KS,66106,(314) 551-4202,,L003862,"Schulte, Angela 'Angie'"
P180263,Boardwalk Office Suites LLC,1001 Boardwalk Springs Place,Suite 111,O'Fallon,MO,63368,(636) 755-2999,,L002136,"Robbins, Thomas"
P180263,Boardwalk Office Suites LLC,1001 Boardwalk Springs Place,Suite 111,O'Fallon,MO,63368,(636) 755-2999,,L003354,"Tilley, Steven"
P180264,Bob Jacobi Jr.,1100 Rockhurst Road,,Kansas City,MO,64110,(816) 501-4565,,L000350,"Jacobi, Bob V"
P180265,"Boehringer Ingelheim Pharmaceuticals, Inc.",900 Ridgebury Road,,Ridgefield,CT,6877,(203) 778-7917,,L002458,"Pfeifer, Daniel"
P180265,"Boehringer Ingelheim Pharmaceuticals, Inc.",900 Ridgebury Road,,Ridgefield,CT,6877,(203) 778-7917,,L002922,"Eaton, Alex Thomas"
P180265,"Boehringer Ingelheim Pharmaceuticals, Inc.",900 Ridgebury Road,,Ridgefield,CT,6877,(203) 778-7917,,L003160,"Porter, Gregory 'Greg' D"
P180265,"Boehringer Ingelheim Pharmaceuticals, Inc.",900 Ridgebury Road,,Ridgefield,CT,6877,(203) 778-7917,,L003722,"Lohmann, Rebecca"
P180265,"Boehringer Ingelheim Pharmaceuticals, Inc.",900 Ridgebury Road,,Ridgefield,CT,6877,(203) 778-7917,,L003936,"Shaw, Aaron"
P180265,"Boehringer Ingelheim Pharmaceuticals, Inc.",900 Ridgebury Road,,Ridgefield,CT,6877,(203) 778-7917,,L004183,"Willis, David"
P180265,"Boehringer Ingelheim Pharmaceuticals, Inc.",900 Ridgebury Road,,Ridgefield,CT,6877,(203) 778-7917,,L180015,"Wells, Jasmine"
P180265,"Boehringer Ingelheim Pharmaceuticals, Inc.",900 Ridgebury Road,,Ridgefield,CT,6877,(203) 778-7917,,L190058,"Davis, William"
P193165,"BofA Securities, Inc.",100 N. Tryon St,,Charlotte,NC,28255,(609) 274-3289,,L001831,"Cowan, Eric"
P193165,"BofA Securities, Inc.",100 N. Tryon St,,Charlotte,NC,28255,(609) 274-3289,,L002781,"Liu, Thomas"
P180266,Boone County Fire Protection District,2201 Interstate 70 Drive NW,,Columbia,MO,65202,(573) 447-5000,,L000535,"Rackers, Thomas 'Tom' P"
P180267,Boone County Missouri,801 E. Walnut,,Columbia,MO,65201,(573) 886-4312,,L001353,"Grote, Michael"
P180268,Boone County Regional Sewer District,1314 North 7th Street,,Columbia,MO,65201,(573) 443-2765,,L000599,"Shorr, David A."
P180269,Boone Hospital Center Board of Trustees,1600 East Broadway,,Columbia,MO,65201,(573) 815-8000,,L001045,"Swain, W 'Wes' Scott"
P193168,"Bootheel CannaCare, LLC",202 North Hwy J,,Hayti,MO,63851,(877) 418-4644,,L002136,"Robbins, Thomas"
P193168,"Bootheel CannaCare, LLC",202 North Hwy J,,Hayti,MO,63851,(877) 418-4644,,L003354,"Tilley, Steven"
P193243,Botannis Labs MO Corp.,215 North Grant,,Springfield,MO,65806,(631) 834-0879,,L004006,"Altmann, Jeffrey"
P180271,Boulevard Brewing Co,2501 Southwest Blvd,,Kansas City,MO,64108,(816) 474-7095,,L002394,"White , Michael 'Mike' T."
P180271,Boulevard Brewing Co,2501 Southwest Blvd,,Kansas City,MO,64108,(816) 474-7095,,L002961,"Pabst, Jessica"
P180271,Boulevard Brewing Co,2501 Southwest Blvd,,Kansas City,MO,64108,(816) 474-7095,,L003652,"Torpey, Noel"
P180272,Boyce Bynum Pathology Laboratories,200 Portland Street,,Columbia,MO,65201,(573) 886-4600,,L000952,"McIntosh, Richard"
P180272,Boyce Bynum Pathology Laboratories,200 Portland Street,,Columbia,MO,65201,(573) 886-4600,,L001270,"Flotron, Francis 'Franc' E."
P180272,Boyce Bynum Pathology Laboratories,200 Portland Street,,Columbia,MO,65201,(573) 886-4600,,L002682,"McCracken, David"
P182542,Boyd Gaming Corporation,3883 Howard Hughes Parkway,,Las Vegas,NV,89169,(702) 792-7200,,L001678,"Giddens, Nancy Lane"
P182542,Boyd Gaming Corporation,3883 Howard Hughes Parkway,,Las Vegas,NV,89169,(702) 792-7200,,L002837,"Cooper, Shannon"
P180273,Boys & Girls Club Alliance,2220 Nicholasville Road,"Ste. #110, Pmb #47",Lexington,KY,40503,(859) 278-1553,,L003748,"Richardson, Kelli"
P180273,Boys & Girls Club Alliance,2220 Nicholasville Road,"Ste. #110, Pmb #47",Lexington,KY,40503,(859) 278-1553,,L004311,"Marrs, William 'Will'"
P192839,Brad Bates,2305 Expressview Drive,,Jefferson City,MO,65101,(573) 619-1938,,L002988,"Bates, Brad"
P180275,Branson/Lakes Area Chamber of Commerce,PO Box 1897,,Branson,MO,65615,(417) 334-4084,,L003748,"Richardson, Kelli"
P180275,Branson/Lakes Area Chamber of Commerce,PO Box 1897,,Branson,MO,65615,(417) 334-4084,,L004311,"Marrs, William 'Will'"
P180276,Breathable Baby,2841 Hedberg Drive,,Minnetonka,MN,55305,(877) 827-4442,,L000598,"Shoehigh, William Eugene"
P180276,Breathable Baby,2841 Hedberg Drive,,Minnetonka,MN,55305,(877) 827-4442,,L000952,"McIntosh, Richard"
P180276,Breathable Baby,2841 Hedberg Drive,,Minnetonka,MN,55305,(877) 827-4442,,L001270,"Flotron, Francis 'Franc' E."
P180276,Breathable Baby,2841 Hedberg Drive,,Minnetonka,MN,55305,(877) 827-4442,,L002682,"McCracken, David"
P180277,Brent Hemphill & Associates,229 Madison,,Jefferson City,MO,65101,(573) 634-0050,,L000327,"Hemphill, Brent"
P180278,Brevan Howard Asset Management LLP,"590 Madison Ave, 9th Floor","55 Baker Street, London, UK W1U 8EW",New York,NY,10022,(212) 418-8207,,L004195,"Cummings, William"
P180279,Brewer Science Inc,2401 Brewer Drive,,Rolla,MO,65401,(573) 364-0300,,L001189,"Farrell, James E"
P180279,Brewer Science Inc,2401 Brewer Drive,,Rolla,MO,65401,(573) 364-0300,,L002458,"Pfeifer, Daniel"
P180279,Brewer Science Inc,2401 Brewer Drive,,Rolla,MO,65401,(573) 364-0300,,L003850,"Durk-Farrell, Sherri"
P182632,Brian Millner,2420 Hyde Park Rd. Suite B,,Jefferson City,MO,65109,(573) 634-8787,,L002974,"Millner, Brian Elliott"
P182709,Brian Wahby,1728 South Broadway,,St. Louis,MO,63104,(314) 762-9000,,L004275,"Wahby, Brian"
P180282,Briarcliff Development Company,1300 NW Briarcliff Pkwy,Ste 205,Kansas City,MO,64150,(816) 741-8540,(515) 779-8400,L002394,"White , Michael 'Mike' T."
P203430,Bridging Families to Communities and Beyond,93 North Oaks Plaza,,St. Louis,MO,63121,(314) 261-0202,(314) 261-0202,L003493,"Lauber, Elizabeth"
P182626,"Bristol Care, Inc.","501 S. Ohio, Ste. 200",,Sedalia,MO,65301,(660) 826-0200,,L000990,"Clarkston, Heath"
P182626,"Bristol Care, Inc.","501 S. Ohio, Ste. 200",,Sedalia,MO,65301,(660) 826-0200,,L002852,"Nelson, Doug"
P182626,"Bristol Care, Inc.","501 S. Ohio, Ste. 200",,Sedalia,MO,65301,(660) 826-0200,,L003492,"Griffin, Jennifer S."
P182626,"Bristol Care, Inc.","501 S. Ohio, Ste. 200",,Sedalia,MO,65301,(660) 826-0200,,L004148,"Schaefer, Kurt"
P180286,"Broadway Investments, LLC","5000 W 95th Street, Suite 200",,Prairie Village,KS,66207,(816) 556-1158,,L002489,"Miller, Charles 'Charlie' F."
P180287,Broadway Lodging Two LLC,#5 McBride & Sons Center Drive,,Chesterfield,MO,63005,(314) 941-7448,,L002471,"Hollis, Robert N"
P213766,Brookfield Properties Retail,2300 Bernadette Drive,,Columbia,MO,65203,(573) 864-5002,,L002394,"White , Michael 'Mike' T."
P180289,"Brookfield Residential Services, LLC","C/O National Registered Agents, Inc.",120 South Central Avenue,Clayton,MO,63105,(816) 429-7427,,L003405,"Maxwell, Korb"
P180291,Brotherhood of Locomotive Engineers and Trainmen,7061 East Pleasant Valley Rd,,Independence,OH,44131,(216) 241-2630,,L004279,"Groose, Calvin"
P180296,Bryan Cave Leighton Paisner LLP,"221 Bolivar Street, Suite 101",,Jefferson City,MO,65101,(573) 556-6620,,L001667,"Black, Guy William"
P180297,"Brydon, Swearengen & England PC",312 E Capitol Ave,PO Box 456,Jefferson City,MO,65102,(573) 635-7166,,L003720,"Schler, Michael"
P180298,"BT Residential, C/O MD Management",5201 Johnson Drive,,Shawnee Mission,KS,66205,(913) 831-2996,,L002396,"Bowers, James C."
P193211,"Build-A-Bear Workshop, Inc.",1954 Innerbelt Business Center Dr.,,St. Louis,MO,63114,(314) 423-8000,,L003829,"Sweeney, David W"
P180303,Burch & Associates,25721 E Katy Track Rd,,Walker,MO,64790,(573) 230-3458,,L000168,"Burch, Jerry"
P180303,Burch & Associates,25721 E Katy Track Rd,,Walker,MO,64790,(573) 230-3458,,L001421,"Pursley, Cindy"
P180303,Burch & Associates,25721 E Katy Track Rd,,Walker,MO,64790,(573) 230-3458,,L003748,"Richardson, Kelli"
P180303,Burch & Associates,25721 E Katy Track Rd,,Walker,MO,64790,(573) 230-3458,,L004311,"Marrs, William 'Will'"
P180305,Burns & Mcdonnell Engineering,9400 Ward Parkway,,Kansas City,MO,64114,(816) 333-9400,,L001759,"Dreiling, Fred"
P180305,Burns & Mcdonnell Engineering,9400 Ward Parkway,,Kansas City,MO,64114,(816) 333-9400,,L003149,"Panettiere, Salvatore"
P180305,Burns & Mcdonnell Engineering,9400 Ward Parkway,,Kansas City,MO,64114,(816) 333-9400,,L003567,"Baker, Aaron"
P180305,Burns & Mcdonnell Engineering,9400 Ward Parkway,,Kansas City,MO,64114,(816) 333-9400,,L004110,"Talboy, Michael 'Mike'"
P180305,Burns & Mcdonnell Engineering,9400 Ward Parkway,,Kansas City,MO,64114,(816) 333-9400,,L004266,"Beers Sutton, Hannah"
P213749,Burrell Behavioral Health,2885 West Battlefield Road,,Springfield,MO,65807,(417) 761-5000,,L000698,"Winton , David"
P213749,Burrell Behavioral Health,2885 West Battlefield Road,,Springfield,MO,65807,(417) 761-5000,,L003827,"Petrie, Jessica"
P180306,Burton-Liese LLC,730 W Main St,,Jefferson City,MO,65101,(573) 893-6834,,L001664,"Foley, James"
P180306,Burton-Liese LLC,730 W Main St,,Jefferson City,MO,65101,(573) 893-6834,,L001708,"Liese, Chris"
P180306,Burton-Liese LLC,730 W Main St,,Jefferson City,MO,65101,(573) 893-6834,,L001747,"Burton, Gary"
P180306,Burton-Liese LLC,730 W Main St,,Jefferson City,MO,65101,(573) 893-6834,,L002586,"English, Neal"
P180306,Burton-Liese LLC,730 W Main St,,Jefferson City,MO,65101,(573) 893-6834,,L003115,"Foley, Andrew"
P180306,Burton-Liese LLC,730 W Main St,,Jefferson City,MO,65101,(573) 893-6834,,L003414,"Green, Timothy Patrick"
P180306,Burton-Liese LLC,730 W Main St,,Jefferson City,MO,65101,(573) 893-6834,,L003963,"Dugger, Tony"
P180306,Burton-Liese LLC,730 W Main St,,Jefferson City,MO,65101,(573) 893-6834,,L200246,"Wright, Coltin"
P203421,BusPatrol America LLC,8540 Cinder Bed Rd #400,,Lorton,VA,22079,(888) 507-6219,,L003149,"Panettiere, Salvatore"
P203421,BusPatrol America LLC,8540 Cinder Bed Rd #400,,Lorton,VA,22079,(888) 507-6219,,L004126,"LaFaver, Jeremy"
P193031,Cable ONE,210 E. Earll Drive,,Phoenix,AZ,85012,(602) 364-6195,,L000163,"Brownlee, Richard S."
P180309,Caesars Enterprise Services LLC,One Caesars Palace Dr,,Las Vegas,NV,89109,(702) 407-6204,,L000543,"Rhoads, Mark J"
P180309,Caesars Enterprise Services LLC,One Caesars Palace Dr,,Las Vegas,NV,89109,(702) 407-6204,,L002154,"Baker, A 'AJ' John"
P180310,Caldwell County Commission,PO Box 67,49 East Main,Kingston,MO,64650,(816) 586-2571,,L000468,"Michelson, Michael Randy"
P180311,California Nurses Association,155 Grand Ave Ste 100,,Oakland,CA,94612,(510) 273-2200,(510) 433-2790,L200215,"Fujan, Jessica"
P203565,Calvin Schneider Living Trust,"1551 Wall Street, Ste. 140",,St. Charles,MO,63303,(636) 399-8889,,L003465,"Weber, K. Andrew 'Drew'"
P180315,Campaign Life Missouri,PO Box 142585,,St. Louis,MO,63114-0585,(314) 428-1999,(314) 368-4242,L000401,"Lee, Samuel 'Sam' H."
P203460,"CannaVer, LLC",9445 Bonhomme Woods Dr.,,St. Louis,MO,63132,(303) 819-7194,,L190116,"Payne, John William"
P180319,Capital Health Management,PO Box 6995,,Lee's Summit,MO,64064,(816) 554-9866,,L000294,"Gallagher, Harry"
P180319,Capital Health Management,PO Box 6995,,Lee's Summit,MO,64064,(816) 554-9866,,L000409,"Licklider, Samuel G."
P180319,Capital Health Management,PO Box 6995,,Lee's Summit,MO,64064,(816) 554-9866,,L000990,"Clarkston, Heath"
P180319,Capital Health Management,PO Box 6995,,Lee's Summit,MO,64064,(816) 554-9866,,L002852,"Nelson, Doug"
P180319,Capital Health Management,PO Box 6995,,Lee's Summit,MO,64064,(816) 554-9866,,L004148,"Schaefer, Kurt"
P180320,Capital Mall Community Improvement District,221 Bolivar St,Ste 401,Jefferson City,MO,65101,(573) 635-2255,,L003405,"Maxwell, Korb"
P180321,Capital Sand Company Inc,PO Box 104960,,Jefferson City,MO,65110,(573) 635-2755,,L000599,"Shorr, David A."
P180322,"Capitol Advocates, LLC",331 Madison,,Jefferson City,MO,65102,(573) 690-3573,,L001867,"Patek, Jewell"
P203477,"Capsa Labs, LLC",206 W. Argonne,,Kirkwood,MO,63122,(314) 677-2125,,L001270,"Flotron, Francis 'Franc' E."
P203415,Cardinal Health,1455 Pennsylvania Ave.,Suite 1180,Washington,DC,20004,(614) 652-1999,,L004133,"Schlemeier, Sarah"
P180326,Care Management Technologies,1010 Sync Street Suite 100,,Morrisville,NC,27560,(919) 674-2547,,L000299,"Gamble, William"
P180326,Care Management Technologies,1010 Sync Street Suite 100,,Morrisville,NC,27560,(919) 674-2547,,L000300,"Gamble, Cynthia"
P180326,Care Management Technologies,1010 Sync Street Suite 100,,Morrisville,NC,27560,(919) 674-2547,,L000580,"Schlemeier, Jorgen"
P180326,Care Management Technologies,1010 Sync Street Suite 100,,Morrisville,NC,27560,(919) 674-2547,,L000644,"Topp, Sarah"
P180326,Care Management Technologies,1010 Sync Street Suite 100,,Morrisville,NC,27560,(919) 674-2547,,L002845,"Jackson, David"
P180326,Care Management Technologies,1010 Sync Street Suite 100,,Morrisville,NC,27560,(919) 674-2547,,L003130,"Brooks, Jeffery"
P180326,Care Management Technologies,1010 Sync Street Suite 100,,Morrisville,NC,27560,(919) 674-2547,,L003747,"Gamble, Kathryn"
P180326,Care Management Technologies,1010 Sync Street Suite 100,,Morrisville,NC,27560,(919) 674-2547,,L004133,"Schlemeier, Sarah"
P180326,Care Management Technologies,1010 Sync Street Suite 100,,Morrisville,NC,27560,(919) 674-2547,,L190054,"Wilson, Olivia"
P180326,Care Management Technologies,1010 Sync Street Suite 100,,Morrisville,NC,27560,(919) 674-2547,,L190149,"Gamble, John"
P180327,"Carefree Industrial Park, Inc.",1600 North State Route 291,,Independence,MO,64056,(816) 257-1572,,L002198,"Scaglia, Phillip P."
P180328,"Carey & Danis, LLC","8235 Forsyth Blvd, Ste 1100",,St. Louis,MO,63105,(314) 725-7700,,L000689,"Wiles, Richard 'Dick' C"
P180328,"Carey & Danis, LLC","8235 Forsyth Blvd, Ste 1100",,St. Louis,MO,63105,(314) 725-7700,,L002827,"Wiles, Sam W"
P180329,Carl Bearden,PO Box 561,,St. Charles,MO,63302,(314) 560-4597,,L002591,"Bearden, Carl"
P203641,"Carmen Schulze & Associates, L.L.C.",2 Buckhorn Ct,,Warrenton,MO,63383,(636) 578-6864,,L001648,"Schulze, Carmen K"
P180332,"Carmichael & Neal, PC","2659 E Normandy Dr, #100",,Springfield,MO,65804,(417) 864-8000,,L001650,"Carmichael, Lloyd J."
P180333,Carol Jones,38 Overhills Drive,,St. Louis,MO,63124,(314) 994-2110,,L000576,"Scherr, Randy"
P180333,Carol Jones,38 Overhills Drive,,St. Louis,MO,63124,(314) 994-2110,,L000697,"Winter, Michael G"
P180333,Carol Jones,38 Overhills Drive,,St. Louis,MO,63124,(314) 994-2110,,L002441,"Bernskoetter, Brian"
P193346,Carvana,300 East Rio Salado Parkway,,Tempe,AZ,85281,(800) 333-4554,,L001318,"Evans, Brent"
P180337,"Casey's General Stores, Inc.",PO Box 3001,,Ankeny,IA,50021,(515) 965-6100,,L000720,"Reichard, Jay"
P180337,"Casey's General Stores, Inc.",PO Box 3001,,Ankeny,IA,50021,(515) 965-6100,,L001341,"Blunt, Andrew 'Andy'"
P180337,"Casey's General Stores, Inc.",PO Box 3001,,Ankeny,IA,50021,(515) 965-6100,,L003862,"Schulte, Angela 'Angie'"
P193234,"Cash Depot, LLC",2201 Walton Drive Suite A,,Jackson,MO,63755,(573) 576-5433,,L002136,"Robbins, Thomas"
P193234,"Cash Depot, LLC",2201 Walton Drive Suite A,,Jackson,MO,63755,(573) 576-5433,,L003354,"Tilley, Steven"
P180341,Cass Medical Center,1800 E Mechanic,,Harrisonville,MO,64701,(816) 380-3474,,L000576,"Scherr, Randy"
P180341,Cass Medical Center,1800 E Mechanic,,Harrisonville,MO,64701,(816) 380-3474,,L000697,"Winter, Michael G"
P180341,Cass Medical Center,1800 E Mechanic,,Harrisonville,MO,64701,(816) 380-3474,,L002441,"Bernskoetter, Brian"
P193024,Cassville Chamber of Commerce,504 Main St.,,Cassville,MO,65625,(417) 847-2814,,L003567,"Baker, Aaron"
P193024,Cassville Chamber of Commerce,504 Main St.,,Cassville,MO,65625,(417) 847-2814,,L004266,"Beers Sutton, Hannah"
P180343,Castle Partners,PO Box 1210,,Sikeston,MO,63801,(573) 471-1276,,L000232,"Dalton, Jonathan F."
P192777,"Cat, Inc.",2120 West End Avenue,,Nashville,TN,37203,(615) 341-1044,,L000671,"Warren, Mark Gilmer Rhodes"
