MECID_L,Lobbyist First Name,Lobbyist Last Name,Recipient,Principal,Expenditure Type,Expenditure Category,Expenditure Date,Expenditure Amount,Amended,Description,Version From,Version To
L001739,David,Klarich,"Spencer,  Bryan  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,2,Yes - Required reporting,Cookies,2,
L001739,David,Klarich,"Billington,  Hardy  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Reimbursed,Cookies,3,
L001739,David,Klarich,"Deaton,  Dirk  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Reimbursed,Cookies,3,
L001739,David,Klarich,"Kelley,  Ann  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Reimbursed,Cookies,3,
L001739,David,Klarich,"Stevens,  Martha  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Reimbursed,Cookies,3,
L001739,David,Klarich,"Wood,  David  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Reimbursed,Cookies,3,
L001739,David,Klarich,"Walsh,  Sara  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Reimbursed,Cookies,3,
L001739,David,Klarich,"Proudie,  Raychel  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Reimbursed,Cookies,4,5
L001739,David,Klarich,"McGirl,  Mike  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Reimbursed,Cookies,5,
L001739,David,Klarich,"Coleman,  Mary  Elizabeth  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Did not receive,Cookies,6,
L001739,David,Klarich,"Sommer,  Chrissy  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Did not receive,Cookies,7,
L001739,David,Klarich,"Roberts,  Lane  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Did not receive,Cookies,8,
L001739,David,Klarich,"Evans,  David  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Reimbursed,Cookies,9,
L001739,David,Klarich,"Bromley,  Bob  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Did not receive,Cookies,10,
L001739,David,Klarich,"Unsicker,  Sarah  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Reimbursed,Cookies,11,
L001739,David,Klarich,"Shawan,  Jeff  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Reimbursed.,Cookies,12,
L001739,David,Klarich,"Wright,  Dale  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Reimbursed.,Cookies,12,
L001739,David,Klarich,"Brown,  Paula  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Did not receive.,Cookies,13,
L001739,David,Klarich,"Black,  John  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Reimbursed.,Cookies,15,
L001739,David,Klarich,"Riggs,  Louis  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Reimbursed.,Cookies,15,
L001739,David,Klarich,"Dinkins,  Chris  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Did not receive.,Cookies,16,
L001739,David,Klarich,"Sain,  Matt  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Did not receive.,Cookies,17,
L001739,David,Klarich,"Quade,  Crystal  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Reimbursed,Cookies,19,
L001739,David,Klarich,"Sauls,  Robert  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Did not receive.,Cookies,20,
L001739,David,Klarich,"Clemens,  Doug  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Did not receive,Cookies,21,
L001739,David,Klarich,"Shields,  Brenda  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Did not receive,Cookies,21,
L001739,David,Klarich,"Pollitt,  Brad  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Did not receive,Cookies,22,
L001739,David,Klarich,"Butz,  Steve  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Did not receive.,Cookies,23,
L001739,David,Klarich,"Kehoe,  Mike  - Office of the Lieutenant Governor",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Did not receive.,Cookies,23,
L001739,David,Klarich,"Rogers,  Wes  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Reimbursed.,Cookies,24,
L001739,David,Klarich,"Carter,  Chris  - Representative",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Reimbursed.,Cookies,25,
L001739,David,Klarich,"Rowden,  Caleb  - Senator",Missouri Midwives Association,Individual,"Meals, Food, & Beverage",2/12/19,0,Yes - Paid,Cookies,26,
L000372,Tracy,Kimberlin,Entire General Assembly,Springfield Convention & Visitors Bureau,Group,"Meals, Food, & Beverage",2/13/19,3.5,Yes - Late notice receiving report of group expenditure amount.,Legislative Breakfast,2,
L000396,Daniel,Landon,Entire General Assembly,Missouri Hospital Association,Group,"Meals, Food, & Beverage",2/13/19,87.04,No,Ice Cream Social,1,
L001498,Arthur,McClure,Entire General Assembly,City Utilities of Springfield,Group,"Meals, Food, & Beverage",2/13/19,3.5,No,Springfield Metro Partnership Legislative Breakfast,1,
L002043,Sandy,Howard,Entire General Assembly,Springfield Area Chamber of Commerce,Group,"Meals, Food, & Beverage",2/13/19,3.5,No,SMP Legislative Breakfast,1,
L003694,John,Jungmann,Entire General Assembly,Springfield R-12 Public Schools,Group,"Meals, Food, & Beverage",2/13/19,3.5,Yes - Expenditure update.,Legislative Breakfast - Capitol Plaza Hotel,2,
L003710,Carol,Hudspeth,Entire General Assembly,Missouri Alliance For Home Care,Group,"Meals, Food, & Beverage",2/13/19,87.04,No,Ice cream social,1,
L003710,Carol,Hudspeth,Entire General Assembly,Kansas City Regional Home Care Association,Group,"Meals, Food, & Beverage",2/13/19,87.04,No,Ice cream social,1,
L003710,Carol,Hudspeth,Entire General Assembly,Missouri Adult Day Services Association,Group,"Meals, Food, & Beverage",2/13/19,87.04,No,Ice cream social,1,
L004311,William,Marrs,Entire General Assembly,City of Springfield,Group,"Meals, Food, & Beverage",2/13/19,3.5,No,Springfield Metro Partnership Legislative Breakfast,1,
L004311,William,Marrs,Entire General Assembly,Greene County Commission,Group,"Meals, Food, & Beverage",2/13/19,3.5,No,Springfield Metro Partnership Legislative Breakfast,1,
L004311,William,Marrs,Entire General Assembly,Missouri State University,Group,"Meals, Food, & Beverage",2/13/19,3.5,No,Springfield Metro Partnership Legislative Breakfast,1,
L190136,Kevin,Roy,Entire Missouri House,Shatterproof,Group,Other,2/13/19,150,No,Email action alert,1,
L190136,Kevin,Roy,Entire Missouri Senate,Shatterproof,Group,Other,2/13/19,150,No,Email action alert,1,
L003759,Laura,Selby,"Erby,  Hazel  - St. Louis County","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",2/14/19,15.35,Yes - Was not added to report initially,Discuss Wheaton Cook Lyndhurst light district,2,
L180019,Garrett,Webb,"Cantrell,  Denise  - Employee/Staff (Wieland,  Paul )",Missouri Council on Economic Education,Individual,Gift,2/14/19,3.99,No,Valentines Day Flower,1,1
L180019,Garrett,Webb,"Cantrell,  Denise  - Employee/Staff (Wieland,  Paul )",Missouri Council on Economic Education,Individual,Gift,2/14/19,0,Yes - Wrong Senator listed,Valentines Day Flower,2,
L003759,Laura,Selby,"Harder,  Mark  A  - St. Louis County","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",2/19/19,14.25,No,"Meet and greet, discussion of Smart Energy Plan and County priorities",1,
L003759,Laura,Selby,"Howard-Grahn,  Chris  - Employee/Staff (Harder,  Mark  A )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",2/19/19,13.58,No,"Meet and greet, discussion of Smart Energy Plan and County priorities",1,
L003823,Emily,Lewis,"DeGroot,  Bruce  - Representative",Missouri Bankers Association,Individual,"Meals, Food, & Beverage",2/19/19,4.97,No,Lunch,1,
L003823,Emily,Lewis,"Bradbury,  Thomas  - Employee/Staff (DeGroot,  Bruce )",Missouri Bankers Association,Individual,"Meals, Food, & Beverage",2/19/19,4.97,No,Lunch,1,
L003951,BJ,Tanksley,Entire General Assembly,Missouri Farm Bureau,Group,"Meals, Food, & Beverage",2/20/19,191.4,No,MOFB Legislative Banquet Reception,1,
L003201,Carol,Macken,"Lucas,  Quinton  - City of Kansas City",KCP&L,Individual,"Meals, Food, & Beverage",2/22/19,19.46,No,Meal,1,
L003769,Jerry,Hobbs,"Hoskins,  Denny  - Senator",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",2/22/19,4.49,No,Lunch,1,
L003769,Jerry,Hobbs,"Remole,  Tim  - Representative",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",2/22/19,4.49,No,Lunch,1,
L003769,Jerry,Hobbs,"Pietzman,  Randy  - Representative",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",2/22/19,4.49,No,Lunch,1,
L003769,Jerry,Hobbs,"Beasley,  Shana  - Employee/Staff (Remole,  Tim )",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",2/22/19,4.49,No,Lunch,1,
L003769,Jerry,Hobbs,"Grier,  Derek  - Representative",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",2/22/19,4.49,No,Lunch,1,
L003769,Jerry,Hobbs,"Fitzwater,  Travis  - Representative",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",2/22/19,4.49,No,Lunch,1,
L003769,Jerry,Hobbs,"Koenig,  Andrew  - Senator",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",2/22/19,4.99,No,Lunch,1,
L003769,Jerry,Hobbs,"Wilhelm,  Daniel  - Employee/Staff (Koenig,  Andrew )",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",2/22/19,4.99,No,Lunch,1,
L003769,Jerry,Hobbs,"Emery,  Ed  - Senator",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",2/22/19,4.99,No,Lunch,1,
L003769,Jerry,Hobbs,"Ahlers,  Stephen  - Employee/Staff (Emery,  Ed )",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",2/22/19,4.99,No,Lunch,1,
L003769,Jerry,Hobbs,"Granich,  Rose  - Employee/Staff (Emery,  Ed )",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",2/22/19,4.99,No,Lunch,1,
L003769,Jerry,Hobbs,"Dean,  Nina  - Employee/Staff (Koenig,  Andrew )",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",2/22/19,4.99,No,Lunch,1,
L002996,Jay,Hahn,"Cottom,  Mary  - Employee/Staff (Riddle,  Jeanie )",Gateway Air Conditioning Contractors,Individual,"Meals, Food, & Beverage",2/27/19,2.39,No,cookie,1,
L003769,Jerry,Hobbs,"Remole,  Tim  - Representative",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",2/27/19,4.49,No,Lunch,1,
L003769,Jerry,Hobbs,"Pietzman,  Randy  - Representative",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",2/27/19,4.99,No,Lunch,1,
L003769,Jerry,Hobbs,"Beasley,  Shana  - Employee/Staff (Pietzman,  Randy )",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",2/27/19,4.49,No,Lunch,1,
L003769,Jerry,Hobbs,"Koenig,  Andrew  - Senator",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",2/27/19,4.49,No,Lunch,1,
L003769,Jerry,Hobbs,"Wilhelm,  Daniel  - Employee/Staff (Koenig,  Andrew )",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",2/27/19,4.49,No,Lunch,1,
L003769,Jerry,Hobbs,"Dean,  Nina  - Employee/Staff (Koenig,  Andrew )",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",2/27/19,4.49,No,Lunch,1,
L003980,Alex,Scharf,"Haskins,  Brian  - Jefferson County Elect",St. Louis Home Builders Association,Individual,"Meals, Food, & Beverage",2/28/19,19.81,No,Lunch with Jefferson County Councilman Brian Haskins,1,
L002951,Herb,Kuhn,"Shields,  Charles  - Spouse/Child (Shields,  Brenda )",Missouri Hospital Association,Individual,Travel,3/1/19,294.35,Yes - Didn’t believe reporting was required until guidance was received from MEC.,"Standard board meeting expenses (meal, mileage & lodging) - As CEO of Truman Medical Center, Charles Shields has served on the MHA Board of Trustees as a permanent board member since 2014.",2,
L002951,Herb,Kuhn,"Shields,  Charles  - Spouse/Child (Shields,  Brenda )",Missouri Hospital Association,Individual,"Meals, Food, & Beverage",3/1/19,83.82,Yes - Didn’t believe reporting was required until guidance was received from MEC.,"Standard board meeting expenses (meal, mileage & lodging) - As CEO of Truman Medical Center, Charles Shields has served on the MHA Board of Trustees as a permanent board member since 2014.",2,
L000952,Richard,McIntosh,Entire General Assembly,Missouri Coalition For Fair Competition,Group,"Meals, Food, & Beverage",3/5/19,437.34,No,"Continental Breakfast-Pastries, Fruit, Juice",1,
L000952,Richard,McIntosh,"Schellman,  Gil  - Employee/Staff (Baker,  Patrick )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,2.22,No,"Continental Breakfast-Pastries, Fruit, Juice",1,
L000952,Richard,McIntosh,"Smith,  Bill  - Employee/Staff (Baker,  Patrick )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,2.22,No,"Continental Breakfast-Pastries, Fruit, Juice",1,
L000952,Richard,McIntosh,"Ninnes,  Robert  - Employee/Staff (Riddle,  Jeanie )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,2.22,No,"Continental Breakfast-Pastries, Fruit, Juice",1,
L000952,Richard,McIntosh,"Cottom,  Mary  - Employee/Staff (Riddle,  Jeanie )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,2.22,No,"Continental Breakfast-Pastries, Fruit, Juice",1,
L000952,Richard,McIntosh,"Ortiz,  Luis  - Employee/Staff (Arthur,  Lauren )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,2.22,No,"Continental Breakfast-Pastries, Fruit, Juice",1,1
L000952,Richard,McIntosh,"Rush,  Jason  - Employee/Staff (DeGroot,  Bruce )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,2.22,No,"Continental Breakfast-Pastries, Fruit, Juice",1,
L000952,Richard,McIntosh,"Sherman,  Ben  - Employee/Staff (DeGroot,  Bruce )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,2.22,No,"Continental Breakfast-Pastries, Fruit, Juice",1,
L000952,Richard,McIntosh,"Arnold,  Adam  - Employee/Staff (Allred,  Vic )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,2.22,No,"Continental Breakfast-Pastries, Fruit, Juice",1,
L000952,Richard,McIntosh,"Dunnavant,  J.  D.  - Employee/Staff (Baker,  Patrick )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,2.22,No,"Continental Breakfast-Pastries, Fruit, Juice",1,
L000952,Richard,McIntosh,"Wilde,  Barbara  - Employee/Staff (Baker,  Patrick )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,2.22,No,"Continental Breakfast-Pastries, Fruit, Juice",1,
L000952,Richard,McIntosh,"Hobbs,  Logan  - Employee/Staff (Wiemann,  John )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,2.22,No,"Continental Breakfast-Pastries, Fruit, Juice",1,
L000952,Richard,McIntosh,"Smalling,  Sidney  - Employee/Staff (Wiemann,  John )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,2.22,No,"Continental Breakfast-Pastries, Fruit, Juice",1,
L000952,Richard,McIntosh,"St. Clair,  Shelly  - Employee/Staff (Burns,  Bob )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,2.22,No,"Continental Breakfast-Pastries, Fruit, Juice",1,
L000952,Richard,McIntosh,"Burns,  Dianne  - Spouse/Child (Burns,  Bob )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,2.22,No,"Continental Breakfast-Pastries, Fruit, Juice",1,
L000952,Richard,McIntosh,"Balkenbush,  Shirley  - Employee/Staff (Butz,  Steve )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,2.22,No,"Continental Breakfast-Pastries, Fruit, Juice",1,
L000952,Richard,McIntosh,"Frank,  Brenda  - Employee/Staff (Murphy,  Jim )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,2.22,No,"Continental Breakfast-Pastries, Fruit, Juice",1,
L000952,Richard,McIntosh,"Bauer,  Jim  - Employee/Staff (Baker,  Patrick )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,2.22,No,"Continental Breakfast-Pastries, Fruit, Juice",1,
L000952,Richard,McIntosh,"Ahlen,  Gina  - Employee/Staff (Messenger,  Jeffrey )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,2.22,No,"Continental Breakfast-Pastries, Fruit, Juice",1,
L000952,Richard,McIntosh,"Bruns,  Mark  - Employee/Staff (Messenger,  Jeffrey )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,2.22,No,"Continental Breakfast-Pastries, Fruit, Juice",1,
L000952,Richard,McIntosh,"Buschjost,  Jackie  - Employee/Staff (Wallingford,  Wayne )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,2.22,No,"Continental Breakfast-Pastries, Fruit, Juice",1,
L000952,Richard,McIntosh,"Foster,  Bill  - Employee/Staff (Wallingford,  Wayne )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,2.22,No,"Continental Breakfast-Pastries, Fruit, Juice",1,
L000952,Richard,McIntosh,"Lucas,  Hanna  - Employee/Staff (Wallingford,  Wayne )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,2.22,No,"Continental Breakfast-Pastries, Fruit, Juice",1,
L000952,Richard,McIntosh,"LaRue,  William  - Employee/Staff (Baker,  Patrick )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,2.22,No,"Continental Breakfast-Pastries, Fruit, Juice",1,
L000952,Richard,McIntosh,"Carter,  Al  - Employee/Staff (Baker,  Patrick )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,2.22,No,"Continental Breakfast-Pastries, Fruit, Juice",1,
L000952,Richard,McIntosh,"Savage,  Paula  - Employee/Staff (Green,  Alan )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,2.22,No,"Continental Breakfast-Pastries, Fruit, Juice",1,
L000952,Richard,McIntosh,"Huffman,  Braden  - Employee/Staff (Sharpe,  Greg )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,2.22,No,"Continental Breakfast-Pastries, Fruit, Juice",1,
L000952,Richard,McIntosh,"Ortiz,  Luis  - Employee/Staff (Arthur,  Lauren )",Missouri Coalition For Fair Competition,Individual,"Meals, Food, & Beverage",3/5/19,0,Yes - Expense reimbursement was received from individual.,"Continental Breakfast-Pastries, Fruit, Juice",2,
L000723,Kyna,Iman,"Hoskins,  Denny  - Senator",Missouri Citizens for the Arts,Individual,"Meals, Food, & Beverage",3/6/19,2.75,No,beverage,1,
L190037,Sarah,Ritter,Entire Missouri Senate,Operation Food Search,Group,"Meals, Food, & Beverage",3/6/19,26.82,No,Small samples made by our nutritionists on staff to highlight the healthy school breakfast options for students and schools,1,
L190037,Sarah,Ritter,Entire Missouri House,Operation Food Search,Group,"Meals, Food, & Beverage",3/6/19,26.82,No,Small samples made by our nutritionists on staff to highlight the healthy school breakfast options for students and schools,1,
L004202,Chris,Hankins,"Johnson,  Bob  - City of Lees Summit",Justice for Jake,Individual,Printing & Publication,3/7/19,17.5,Yes - Cost for Local City council representatives.,Project Vision,2,
L004202,Chris,Hankins,"Edson,  Phyllis  Q  - City of Lees Summit",Justice for Jake,Individual,Printing & Publication,3/7/19,17.5,Yes - Cost for Local City council representatives.,Project Vision,2,
L002615,Matthew,Forck,"Martinez,  Linda  - Employee/Staff (Krewson,  Lyda )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,"Meals, Food, & Beverage",3/9/19,65,Yes - Need to include,,2,
L002615,Matthew,Forck,"Martinez,  Linda  - Employee/Staff (Krewson,  Lyda )","Union Electric Co. DBA Amerenue, Ameren Services, Ameren Corp.",Individual,Entertainment,3/9/19,169.95,Yes - required reporting,Scott Trade Center event,2,
L001759,Fred,Dreiling,Entire General Assembly,Missouri County Treasurers Association,Group,"Meals, Food, & Beverage",3/12/19,600,Yes - I thought I should report it.,Candy bars were givem out,2,
L002470,Janet,Waddell,"Burnett,  Scott  - Jackson County",KCP&L,Individual,"Meals, Food, & Beverage",3/12/19,12.73,No,business lunch,1,
L003019,William,Bates,"Wallingford,  Wayne  - Senator",LeadingAge Missouri,Individual,"Meals, Food, & Beverage",3/12/19,1,No,2 sodas,1,
L003019,William,Bates,"Roberts,  Lane  - Representative",LeadingAge Missouri,Individual,"Meals, Food, & Beverage",3/12/19,1.4,No,1 glass of red wine,1,
L003769,Jerry,Hobbs,"Koenig,  Andrew  - Senator",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",3/13/19,4.49,No,Lunch,1,
L003769,Jerry,Hobbs,"Wilhelm,  Daniel  - Employee/Staff (Koenig,  Andrew )",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",3/13/19,4.49,No,Lunch,1,
L003769,Jerry,Hobbs,"Emery,  Ed  - Senator",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",3/13/19,4.49,No,Lunch,1,
L003769,Jerry,Hobbs,"Ahlers,  Stephen  - Employee/Staff (Emery,  Ed )",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",3/13/19,4.49,No,Lunch,1,
L003769,Jerry,Hobbs,"Granich,  Rose  - Employee/Staff (Emery,  Ed )",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",3/13/19,4.49,No,Lunch,1,
L003769,Jerry,Hobbs,"Catanzaro,  Frank  - Employee/Staff (Koenig,  Andrew )",Missouri Education Reform Council,Individual,"Meals, Food, & Beverage",3/13/19,4.99,No,Lunch,1,
L003980,Alex,Scharf,"Larson,  Eric  - Employee/Staff (Gannon,  Dennis )",St. Louis Home Builders Association,Individual,"Meals, Food, & Beverage",3/21/19,17.19,Yes - adding expenditure,"Lunch with Eric Larson, Jefferson County Director of County Services and Code Enforcement",3,
L004183,David,Willis,"Cierpiot,  Mike  - Senator",Missouri Health Plan Association,Individual,"Meals, Food, & Beverage",3/25/19,3.25,No,Drinks,1,
L190136,Kevin,Roy,Entire Missouri House,Shatterproof,Group,Other,3/25/19,300,No,Email action alert,1,
L190136,Kevin,Roy,Entire Missouri Senate,Shatterproof,Group,Other,3/25/19,300,No,Email action alert,1,
L004223,Jessica,Hoey,"Alsousi,  Hala  - Employee/Staff (McGee,  DaRon )",Missouri Community Action Network,Individual,"Meals, Food, & Beverage",3/26/19,1.17,No,Dessert (one brownie or cookie per person) served to the General Assembly and staff on behalf of the Missouri Community Action Network,1,
L004223,Jessica,Hoey,"Ricardez,  Ricardo  - Employee/Staff (Ellebracht,  Mark )",Missouri Community Action Network,Individual,"Meals, Food, & Beverage",3/26/19,1.17,No,Dessert (one brownie or cookie per person) served to the General Assembly and staff on behalf of the Missouri Community Action Network,1,
L004223,Jessica,Hoey,"Balkenbush,  Shirley  - Employee/Staff (Butz,  Steve )",Missouri Community Action Network,Individual,"Meals, Food, & Beverage",3/26/19,1.17,No,Dessert (one brownie or cookie for each individual) served to the General Assembly and staff on behalf of the Missouri Community Action Network for its 2019 Advocacy Day,1,
L004223,Jessica,Hoey,"Bauer,  Rachel  - Employee/Staff (Hoskins,  Denny )",Missouri Community Action Network,Individual,"Meals, Food, & Beverage",3/26/19,1.17,No,Dessert (one brownie or cookie for each individual) served to the General Assembly and staff on behalf of the Missouri Community Action Network for its 2019 Advocacy Day,1,
L004223,Jessica,Hoey,"Beverly,  Amy  - Employee/Staff (Houx,  Dan )",Missouri Community Action Network,Individual,"Meals, Food, & Beverage",3/26/19,1.17,No,Dessert (one brownie or cookie for each individual) served to the General Assembly and staff on behalf of the Missouri Community Action Network for its 2019 Advocacy Day,1,
L004223,Jessica,Hoey,"Dobbs,  B  - Employee/Staff (Wiemann,  John )",Missouri Community Action Network,Individual,"Meals, Food, & Beverage",3/26/19,1.17,No,Dessert (one brownie or cookie per person) served to the General Assembly and staff on behalf of the Missouri Community Action Network,1,
L004223,Jessica,Hoey,"Hoelscher,  Keri  - Employee/Staff (Wiemann,  John )",Missouri Community Action Network,Individual,"Meals, Food, & Beverage",3/26/19,1.17,No,Dessert (one brownie or cookie per person) served to the General Assembly and staff on behalf of the Missouri Community Action Network,1,
L004223,Jessica,Hoey,"Fitzgerald,  Kevin  - Employee/Staff (Plocher,  Dean )",Missouri Community Action Network,Individual,"Meals, Food, & Beverage",3/26/19,1.17,No,Dessert (one brownie or cookie for each individual) served to the General Assembly and staff on behalf of the Missouri Community Action Network for its 2019 Advocacy Day,1,
L004223,Jessica,Hoey,"Looney,  Mekenzie  - Employee/Staff (Hoskins,  Denny )",Missouri Community Action Network,Individual,"Meals, Food, & Beverage",3/26/19,1.17,No,Dessert (one brownie or cookie for each individual) served to the General Assembly and staff on behalf of the Missouri Community Action Network for its 2019 Advocacy Day,1,
L004223,Jessica,Hoey,"Lucas,  Hanna  - Employee/Staff (Wallingford,  Wayne )",Missouri Community Action Network,Individual,"Meals, Food, & Beverage",3/26/19,1.17,No,Dessert (one brownie or cookie per person) served to the General Assembly and staff on behalf of the Missouri Community Action Network,1,
L004223,Jessica,Hoey,"Rogers,  Kelley  - Employee/Staff (Knight,  Jeff )",Missouri Community Action Network,Individual,"Meals, Food, & Beverage",3/26/19,1.17,No,Dessert (one brownie or cookie for each individual) served to the General Assembly and staff on behalf of the Missouri Community Action Network for its 2019 Advocacy Day,1,
L004223,Jessica,Hoey,"St. Clair,  Shelly  - Employee/Staff (Burns,  Bob )",Missouri Community Action Network,Individual,"Meals, Food, & Beverage",3/26/19,1.17,No,Dessert (one brownie or cookie for each individual) served to the General Assembly and staff on behalf of the Missouri Community Action Network for its 2019 Advocacy Day,1,
L004223,Jessica,Hoey,"Thomas,  Janson  - Employee/Staff (Walsh,  Gina )",Missouri Community Action Network,Individual,"Meals, Food, & Beverage",3/26/19,1.17,No,Dessert (one brownie or cookie for each individual) served to the General Assembly and staff on behalf of the Missouri Community Action Network for its 2019 Advocacy Day,1,
